Cod Produto,Nome Produto,Preco Lista,Preco,Base Preco,Ref Marca,Trade Policy,Skuid,Id Listapreco,Canal Venda,Data Alterado
145,Caixa Com 12 Unidades De Rodo Multiuso Com Cabo 30 Cm,180.3,,,,1,410,1,1,2023-05-17 22:44:12.660000
146,Caixa Com 12 Unidades De Rodo Multiuso Com Cabo 40 Cm,232.2,,,,1,411,1,1,2023-05-17 22:44:12.660000
147,Caixa Com 12 Unidades De Rodo Multiuso Com Cabo 60 Cm,271.9,,,,1,412,1,1,2023-05-17 22:44:12.660000
148,Rodo Multiuso Vip 30 Cm Com Cabo Com 12 Unidades ATACADO,166.5,,,,1,413,1,1,2023-05-17 22:44:12.660000
149,Rodo Multiuso Vip 40 Cm Com Cabo Com 12 Unidades ATACADO,170.3,,,,1,414,1,1,2023-05-17 22:44:12.660000
150,Caixa Com 12 Unidades De Rodo Multiuso 30 Cm Sem Cabo,139.8,,,,1,415,1,1,2023-05-17 22:44:12.660000
151,Caixa Com 12 Unidades De Rodo Multiuso 40 Cm Sem Cabo,153.0,,,,1,416,1,1,2023-05-17 22:44:12.660000
152,Caixa Com 12 Unidades De Rodo Multiuso 60 Cm Sem Cabo,258.6,,,,1,417,1,1,2023-05-17 22:44:12.660000
153,Rodo Multiuso Vip 30 Cm Sem Cabo Com 12 Unidades ATACADO,108.4,,,,1,418,1,1,2023-05-17 22:44:12.660000
154,Rodo Multiuso Vip 40 Cm Sem Cabo Com 12 Unidades ATACADO,112.2,,,,1,419,1,1,2023-05-17 22:44:12.660000
155,Caixa Com 24 Unidades De Esponja Splum Vegetal Pedaço Pequeno,130.7,,,,1,420,1,1,2023-05-17 22:44:12.660000
156,Esponja Splum Para Banho Laqua Unitária Santa Maria,2.1,,,,1,77,1,1,2023-05-17 22:44:12.660000
157,Saco Para Lixo Em Rolo De 15 Litros Esfrelux Econômico Com 60 Unidades Santa Maria,12.1,,,,1,78,1,1,2023-05-17 22:44:12.660000
158,Saco Para Lixo Em Rolo De 30 Litros Esfrelux Econômico Com 30 Unidades Santa Maria,12.1,,,,1,79,1,1,2023-05-17 22:44:12.660000
159,Saco Para Lixo Em Rolo De 50 Litros Esfrelux Econômico Com 30 Unidades Santa Maria,12.1,,,,1,80,1,1,2023-05-17 22:44:12.660000
160,Saco Para Lixo Em Rolo De 100 Litros Esfrelux Econômico Com 15 Unidades Santa Maria,12.1,,,,1,81,1,1,2023-05-17 22:44:12.660000
161,Saco Para Lixo De Pia E Banheiro Esfrelux Plus Com 20 Unidades Santa Maria,6.0,,,,1,82,1,1,2023-05-17 22:44:12.660000
162,Saco Para Lixo Esfrelux Azul Com 15 Litros Em Rolo Com 60 Unidades Santa Maria,12.1,,,,1,83,1,1,2023-05-17 22:44:12.660000
163,Saco Para Lixo Esfrelux Azul Com 30 Litros Em Rolo Com 30 Unidades Santa Maria,12.1,,,,1,84,1,1,2023-05-17 22:44:12.660000
164,Saco Para Lixo Esfrelux Azul Com 50 Litros Em Rolo Com 30 Unidades Santa Maria,12.1,,,,1,85,1,1,2023-05-17 22:44:12.660000
